i name total_amount reward type
3 SimpleRL 118943.57940488646 0 Opportunists
3 Opportunist 138142.73209792096 0 Opportunists
3 GP_agent_1 124920.7284040115 1622 Opportunists
4 Opportunist 143538.98641520334 0 Opportunists
4 SimpleRL 111691.36623723373 0 Opportunists
4 Opportunist 143538.98641520334 0 Opportunists
4 GP_agent_1 127147.34189921914 1688 Opportunists
5 SimpleRL 128457.51653477545 0 Opportunists
5 GP_agent_1 122650.45887293346 1569 Opportunists
5 Opportunist 137403.6827027879 0 Opportunists
5 Opportunist 137403.6827027879 0 Opportunists
6 SimpleRL 121449.71208045911 0 Opportunists
6 Opportunist 137286.05149578615 0 Opportunists
6 Opportunist 137286.05149578615 0 Opportunists
6 GP_agent_1 126891.72822433553 1596 Opportunists
7 Opportunist 133078.3659311213 0 Opportunists
7 SimpleRL 117429.18795197703 0 Opportunists
7 GP_agent_1 129951.6806367644 1685 Opportunists
7 Opportunist 133078.3659311213 0 Opportunists
8 Opportunist 141746.97271149282 0 Opportunists
8 GP_agent_1 128135.58003353378 1648 Opportunists
8 SimpleRL 114486.43128185665 0 Opportunists
8 Opportunist 141746.97271149282 0 Opportunists
9 Opportunist 136387.14560999494 0 Opportunists
9 Opportunist 136387.14560999494 0 Opportunists
9 GP_agent_1 127077.26011022822 1666 Opportunists
9 SimpleRL 118821.22325670504 0 Opportunists
0 Karmine 200837.90152496175 0 3_Karmines
0 Karmine 200837.90152496175 0 3_Karmines
0 GP_agent_1 91763.96594847982 1038 3_Karmines
0 Karmine 200837.90152496175 0 3_Karmines
1 Karmine 175819.6834078192 0 3_Karmines
1 Karmine 175819.6834078192 0 3_Karmines
1 Karmine 175819.6834078192 0 3_Karmines
1 GP_agent_1 74394.51946463219 750 3_Karmines
2 Karmine 153445.66093382693 0 3_Karmines
2 Karmine 153445.66093382693 0 3_Karmines
2 GP_agent_1 60871.859507067515 462 3_Karmines
2 Karmine 153445.66093382693 0 3_Karmines
3 Karmine 166105.55971534672 0 3_Karmines
3 Karmine 166105.55971534672 0 3_Karmines
3 Karmine 166105.55971534672 0 3_Karmines
3 GP_agent_1 71972.19990593242 654 3_Karmines
4 Karmine 166117.3971948253 0 3_Karmines
4 GP_agent_1 73644.66505416331 702 3_Karmines
4 Karmine 166117.3971948253 0 3_Karmines
4 Karmine 166117.3971948253 0 3_Karmines
5 Karmine 176561.18011861574 0 3_Karmines
5 Karmine 176561.18011861574 0 3_Karmines
5 GP_agent_1 80000.16536786142 798 3_Karmines
5 Karmine 176561.18011861574 0 3_Karmines
6 Karmine 197947.0406630624 0 3_Karmines
6 GP_agent_1 94782.5971208892 1038 3_Karmines
6 Karmine 197947.0406630624 0 3_Karmines
6 Karmine 197947.0406630624 0 3_Karmines
7 Karmine 138202.74564566434 0 3_Karmines
7 Karmine 138202.74564566434 0 3_Karmines
7 Karmine 138202.74564566434 0 3_Karmines
7 GP_agent_1 51862.21718789203 318 3_Karmines
8 Karmine 135289.3776740442 0 3_Karmines
8 GP_agent_1 49526.854115658854 270 3_Karmines
8 Karmine 135289.3776740442 0 3_Karmines
8 Karmine 135289.3776740442 0 3_Karmines
9 Karmine 176197.42447700218 0 3_Karmines
9 GP_agent_1 77132.74770129002 750 3_Karmines
9 Karmine 176197.42447700218 0 3_Karmines
9 Karmine 176197.42447700218 0 3_Karmines
